1[[IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaIndividualNumber;Salary="Salary"^^<http://www.w3.org/2001/XMLSchema#string>;Age="Age"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Sex"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaOccupation;WorkClass="WorkClass"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="HoursPerWeek"^^<http://www.w3.org/2001/XMLSchema#string>]
12 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha17;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="25"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
13 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha18;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="32"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
14 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha19;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="38"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
15 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha22;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="54"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Female"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
16 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha23;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="35"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
17 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha24;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="43"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
18 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha25;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="59"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Female"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
19 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha27;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="19"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
20 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha29;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="39"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
21 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha30;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="49"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
22 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha31;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="23"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
23 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha32;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="20"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
24 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha33;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="45"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
25 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha34;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="30"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
26 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha35;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="22"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
27 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha36;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="48"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
28 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha37;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="21"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
29 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha38;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="19"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Female"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
30 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha40;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="48"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
31 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha41;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="31"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
32 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha42;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="53"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
33 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha43;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="24"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
34 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha44;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="49"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Female"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
35 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha45;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="25"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
36 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha47;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="53"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
37 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha48;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="44"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Female"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
38 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha49;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="41"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
39 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha50;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="29"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
40 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha51;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="25"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Female"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
41 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha52;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="18"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Female"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
42 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha55;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="47"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
43 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha57;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="46"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
44 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha58;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="35"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
45 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha59;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="41"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
46 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha60;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="30"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
47 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha61;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="30"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
48 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha62;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="32"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
49 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha63;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="48"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
50 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha65;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="29"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
51 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha66;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="36"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
52 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha67;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="28"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Female"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
53 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha70;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="25"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
