1[[Occupation="Occupation"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaIndividualNumber;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaEducation;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaCapitalGain]
19 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha186;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
20 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha205;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
21 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha224;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
22 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha229;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
23 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha230;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
24 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha233;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
25 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha237;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
26 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha246;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
27 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha247;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
28 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha250;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
29 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha252;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
30 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha254;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
31 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha301;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
32 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha305;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
33 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha306;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
34 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha309;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
35 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha332;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
36 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha334;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
37 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha356;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
38 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha359;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
39 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha371;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
40 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha376;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
41 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha388;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
42 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha389;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
43 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha407;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
44 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha439;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
45 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha440;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
46 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha442;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
47 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha466;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
48 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha486;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
49 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha492;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
50 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha496;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
51 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha503;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
52 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha509;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
53 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha517;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
54 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha528;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
55 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha553;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
56 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha558;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
57 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha587;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
58 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha595;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
59 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha602;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
60 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha606;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
61 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha634;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
62 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha647;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
63 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha656;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
64 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha678;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
65 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha685;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
66 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha712;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
67 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha715;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
68 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha732;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
69 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha733;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
70 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha748;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
71 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha759;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
72 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha762;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
73 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha777;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
74 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha786;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
75 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha804;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
76 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha814;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
77 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha821;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
78 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha824;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
79 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha829;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
80 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha832;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
81 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha837;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
82 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha852;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
83 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha857;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
84 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha861;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
85 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha878;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
